,,,Naming Conventions,,,,,,Studio Categories,,,,,Studio Launch Dates,,,Studio Leadership,,,,,,Contact Information,,,,,,Geography,,,,,,,,,,,Online Footprint,,,Lease Information,,,Payroll,Franchising Information,,,,,,
Fremont,18,CA [N-SB],CAFR,CAFR CA-fremont,Fremont,Club Pilates Fremont,6230,6230,Open,2+ Years,12,5,Acquisition,1/29/2018,5/1/2023,3/15/2018,Kristin Chandler,Jazmyn Fontenot,Trinity Cardenas,A1OA,N/A,Annabel Castaldo,Stephanie Hoeven,fremont@clubpilates.com,fremontgm@clubpilates.com,fremontgm@riserfit.com,fremontli@clubpilates.com,fremontli@riserfit.com,(510) 456-7755,"44047 Osgood Rd., Ste. 220, Fremont, CA 94539","44047 Osgood Rd., Ste. 220",Fremont,Alameda County,CA,94539,37.51,-121.94,BAY,BAY,Southwest,https://www.clubpilates.com/location/fremont,https://www.instagram.com/clubpilatesfremont/,https://www.facebook.com/clubpilatesfremont,1318,Feb-38,Cai Investments LLC,5,Peng,11/20/2015,5/1/2023,1077,6.00%,
Los Gatos,49,CA [N-SB],CALG,CALG CA-los-gatos,Los Gatos,Club Pilates Los Gatos,12808,CALG,Open,13 - 24 Months,12,5,De Novo,8/15/2024,8/15/2024,9/29/2024,Kristin Chandler,Jazmyn Fontenot,Connie Liu,A0MX,N/A,Molly Stene,Michaela Lien,losgatos@clubpilates.com,losgatosgm@clubpilates.com,losgatosgm@riserfit.com,losgatosli@clubpilates.com,losgatosli@riserfit.com,(408) 560-1345,"14010 Blossom Hill Rd., Los Gatos, CA 95032",14010 Blossom Hill Rd.,Los Gatos,Santa Clara County,CA,95023,37.24,-121.91,BAY,BAY,Southwest,https://www.clubpilates.com/location/losgatos,https://www.instagram.com/clubpilates_losgatos/,https://www.facebook.com/clubpilateslosgatos,1750,Sep-44,Blossom Hill Investment Company,5,Paper,(Brian Paper),5/14/2021,2056,8.00%,
North San Jose,46,CA [N-SB],CANS,CANS CA-North San Jose,North San Jose,Club Pilates North San Jose,5340,CANS,Open,13 - 24 Months,12,5,Acquisition,1/7/2017,8/8/2024,2/21/2017,Kristin Chandler,Jazmyn Fontenot,N/A,N/A,N/A,Annabel Castaldo,N/A,northsanjose@clubpilates.com,northsanjosegm@clubpilates.com,northsanjosegm@riserfit.com,N/A,N/A,(408) 359-4484,"1708 Oakland Rd., #200, San Jose, CA 95131","1708 Oakland Rd., #200",San Jose,Santa Clara County,CA,95131,37.38,-121.89,BAY,BAY,Southwest,https://www.clubpilates.com/location/northsanjose,https://www.instagram.com/clubpilates_northsanjose/,https://www.facebook.com/clubpilatesnorthsanjose/,1402,Jan-34,B10 Mountain B SF LP,5,Shiraki,,8/8/2024,1157,8.00%,
Santa Clara,52,CA [N-SB],CASC,CASC CA-santa-clara,Santa Clara,Club Pilates Santa Clara,13983,CASC,Open,13 - 24 Months,12,5,De Novo,9/5/2024,9/5/2024,10/20/2024,Kristin Chandler,Jazmyn Fontenot,Cinnamon Hoffman,A1OC,N/A,Molly Stene,Stella Shao,santaclara@clubpilates.com,santaclaragm@clubpilates.com,santaclaragm@riserfit.com,santaclarali@clubpilates.com,santaclarali@clubpilates.com,(408) 758-8106,"3347 Coronado Place, Santa Clara, CA 95054",3347 Coronado Place,Santa Clara,Santa Clara County,CA,95054,37.38,-121.97,BAY,BAY,Southwest,https://www.clubpilates.com/location/santaclara,https://www.instagram.com/clubpilates_santaclara/,https://www.facebook.com/clubpilatessantaclara,1417,Jul-39,3265 SCOTT BOULEVARD LLC,5,Rubin,5/9/2023,7/1/2024,3258,8.00%,
Union City,42,CA [N-SB],CAUC,CAUC CA-union-city,Union City,Club Pilates Union City,13929,CAUC,Open,13 - 24 Months,18,5,De Novo,8/1/2024,8/1/2024,9/15/2024,Kristin Chandler,Jazmyn Fontenot,Celeste Lopez,A0KG,N/A,Annabel Castaldo,Esperanza Hemple,unioncity@clubpilates.com,unioncitygm@clubpilates.com,unioncitygm@riserfit.com,unioncityli@clubpilates.com,unioncityli@riserfit.com,(510) 585-4960,"32175 Union Landing Blvd., Union City, CA 94587",32175 Union Landing Blvd.,Union City,Alameda County,CA,94587,37.6,-122.07,BAY,BAY,Southwest,https://www.clubpilates.com/location/unioncity,https://www.instagram.com/clubpilates_unioncity/,https://www.facebook.com/clubpilatesunioncity,2793,Mar-44,Dyer Triangle LLC C/o SyWest Development LLC,5,Sep-23 Consolidated 45,5/9/2023,No FA effective Date,3260,8.00%,
Daly City,32,CA [N-WB],CADC,CADC CA-daly-city,Daly City,Club Pilates Daly City,13431,CADC,Open,13 - 24 Months,12,5,De Novo,4/25/2024,4/25/2024,6/9/2024,Kristin Chandler,Jules Silk,Karina Pranza,A0DU,N/A,Molly Stene,Yvette Ly,dalycity@clubpilates.com,dalycitygm@clubpilates.com,dalycitygm@riserfit.com,dalycityli@clubpilates.com,dalycityli@riserfit.com,(650) 263-4505,"3 Serramonte Center, Suite 127F, Daly City, CA 94015","3 Serramonte Center, Suite 127F",Daly City,San Mateo County,CA,94015,37.67,-122.47,BAY,BAY,Southwest,https://www.clubpilates.com/location/dalycity,https://www.instagram.com/clubpilates_dalycity/,https://www.facebook.com/clubpilatesdalycity,2204,May-39,"Daly City Serramonte Center, LLC",5,Chandiok,(Rahul Chandiok),12/28/2021,3045,8.00%,
Palo Alto,47,CA [N-WB],CAPA,CAPA CA-Palo Alto,Palo Alto,Club Pilates Palo Alto,6393,CAPA,Open,13 - 24 Months,12,5,Acquisition,7/19/2018,8/8/2024,9/2/2018,Kristin Chandler,Jules Silk,Tatiana Taylor,A0MU,N/A,Molly Stene,Kerry Broderick,paloalto@clubpilates.com,paloaltogm@clubpilates.com,paloaltogm@riserfit.com,paloaltoli@clubpilates.com,paloaltoli@riserfit.com,(650) 722-8237,"490 California Ave., Ste. 120, Palo Alto, CA 94306","490 California Ave., Ste. 120",Palo Alto,Santa Clara County,CA,94306,37.43,-122.15,BAY,BAY,Southwest,https://www.clubpilates.com/location/paloalto,https://www.instagram.com/clubpilates_paloalto/,https://www.facebook.com/clubpilatespaloalto/,1528,Feb-39,ISBI 490 California LLC,5,Shiraki,,8/8/2024,1019,8.00%,
San Bruno,82,CA [N-WB],CASB,CASB CA-San-Bruno,San Bruno,Club Pilates San Bruno,14635,CASB,Open,6 - 12 Months,12,5,De Novo,8/7/2025,8/7/2025,9/21/2025,Kristin Chandler,Jules Silk,Michael Bergen,A14H,N/A,Molly Stene,Yvette Ly,sanbruno@clubpilates.com,sanbrunogm@clubpilates.com,sanbrunogm@riserfit.com,dalycityli@clubpilates.com,dalycityli@riserfit.com,(650) 540-1999,"851 Cherry Avenue, Suite 13, San Bruno, CA 94066","851 Cherry Avenue, Suite 13",San Bruno,San Mateo County,CA,94066,37.63,-122.43,BAY,BAY,Southwest,https://www.clubpilates.com/location/SanBruno,https://www.instagram.com/clubpilates_sanbruno/,https://www.facebook.com/clubpilatessanbruno/,1771,TBD,"FW CA-BAY HILL SHOPPING CENTER, LLC",10,Sep-23 Consolidated 45,9/29/2023,,3372,8.00%,
San Mateo,50,CA [N-WB],CASM,CASM CA-San Mateo,San Mateo,Club Pilates San Mateo,13407,CASM,Open,13 - 24 Months,12,5,De Novo,8/15/2024,8/15/2024,9/29/2024,Kristin Chandler,Jules Silk,Andrea Dorantes,A1K4,N/A,Molly Stene,Molly Stene,sanmateo@clubpilates.com,sanmateogm@clubpilates.com,sanmateogm@riserfit.com,sanmateoli@clubpilates.com,sanmateoli@riserfit.com,(650) 378-1240,"15 N B St., Suite F, San Mateo, CA 94401","15 N B St., Suite F",San Mateo,San Mateo County,CA,94401,37.57,-122.33,BAY,BAY,Southwest,https://www.clubpilates.com/location/sanmateo,https://www.instagram.com/clubpilates_sanmateo/,https://www.facebook.com/clubpilatessanmateo/,1881,Nov-44,"303 Baldwin, LP",5,Shiraki,,8/8/2024,1363,8.00%,
Sunnyvale,48,CA [N-WB],CASV,CASV CA-Sunnyvale,Sunnyvale,Club Pilates Sunnyvale,3742,CASV,Open,13 - 24 Months,12,5,Acquisition,11/12/2016,8/8/2024,12/27/2016,Kristin Chandler,Jules Silk,Abi Sundaram,A1J6,N/A,Molly Stene,Stella Shao,sunnyvale@clubpilates.com,sunnyvalegm@clubpilates.com,sunnyvalegm@riserfit.com,santaclarali@clubpilates.com,santaclarali@clubpilates.com,(408) 675-9073,"562 E El Camino Real, Sunnyvale, CA 94087",562 E El Camino Real,Sunnyvale,Santa Clara County,CA,94087,37.36,-122.03,BAY,BAY,Southwest,https://www.clubpilates.com/location/sunnyvale,https://www.instagram.com/clubpilates_sunnyvale/,https://www.facebook.com/clubpilatessunnyvale/,1840,Sep-38,"Peter Pavlina Family, LLC",5,Shiraki,,8/8/2024,1139,8.00%,
Arroyo Grande,57,CA [S1-CEN],CAAG,CAAG CA-Arroyo Grande,Arroyo Grande,Club Pilates Arroyo Grande,13732,CAAG,Open,13 - 24 Months,12,5,Acquisition,12/31/2023,2/17/2025,2/14/2024,Daniela Valenzuela,Kasandra Ryan,Rebecca DeFrank,A0UT,N/A,Amy Cady,Teddy Rae Richards,Arroyogrande@clubpilates.com,Arroyograndegm@clubpilates.com,Arroyograndegm@riserfit.com,arroyograndeli@clubpilates.com,arroyograndeli@riserfit.com,(805) 779-8465,"925 Rancho Parkway, Arroyo Grande, CA 93420",925 Rancho Parkway,Arroyo Grande,San Luis Obispo County,CA,93420,35.13,-120.59,CEN,CEN,Southwest,https://www.clubpilates.com/location/arroyogrande,https://www.instagram.com/clubpilatesarroyogrande/,https://www.facebook.com/clubpilatesarroyogrande,1495,Jan-34,"Sphear Investments, LLC",0,Stevenson,,2/17/2024,3308,8.00%,
Paso Robles,58,CA [S1-CEN],CAPR,CAPR CA-Paso Robles,Paso Robles,Club Pilates Paso Robles,10660,CAPR,Open,13 - 24 Months,12,5,Acquisition,10/8/2020,2/17/2025,11/22/2020,Daniela Valenzuela,Kasandra Ryan,Hannah Mortensen,A1IU,N/A,Amy Cady,Tiffany Emry,Pasorobles@clubpilates.com,Pasoroblesgm@clubpilates.com,Pasoroblesgm@riserfit.com,pasoroblesli@clubpilates.com,pasoroblesli@riserfit.com,(805) 369-1971,"2051 Theatre Drive, Paso Robles, CA 93446",2051 Theatre Drive,Paso Robles,San Luis Obispo County,CA,93446,35.59,-120.7,CEN,CEN,Southwest,https://www.clubpilates.com/location/pasorobles,https://www.instagram.com/clubpilatespasorobles/,https://www.facebook.com/clubpilatespasorobles,1890,Oct-35,"Pinkstar Holdings, LLC",0,Stevenson,,2/17/2024,1654,8.00%,
San Luis Obispo,59,CA [S1-CEN],CAOB,CAOB CA-San Luis Obispo,San Luis Obispo,Club Pilates San Luis Obispo,8488,CAOB,Open,13 - 24 Months,12,5,Acquisition,5/16/2019,2/17/2025,6/30/2019,Daniela Valenzuela,Kasandra Ryan,Quinn Box,A1F5,N/A,Amy Cady,Teddy Rae Richards,Sanluisobispo@clubpilates.com,Sanluisobispogm@clubpilates.com,Sanluisobispogm@riserfit.com,arroyograndeli@clubpilates.com,arroyograndeli@riserfit.com,(805) 366-4750,"209 Madonna Road, San Luis Obispo, CA 93405",209 Madonna Road,San Luis Obispo,San Luis Obispo County,CA,93405,35.26,-120.68,CEN,CEN,Southwest,https://www.clubpilates.com/location/SanLuisObispo,https://www.instagram.com/clubpilates_sanluisobispo/,https://www.facebook.com/clubpilatessanluisobispo,2557,Jun-39,MADONNA PLAZA SRT LP,0,Stevenson,,2/17/2024,1655,8.00%,
Echo Park,4,CA [S2-LA],CAEP,CAEP CA-echo-park,Echo Park,Club Pilates Echo Park,3414,3414,Open,2+ Years,12,5,Acquisition,3/31/2017,3/31/2017,5/15/2017,Daniela Valenzuela,Shaelana Pass,Tea Roy,A0S4,Lizette Soto,Amy Cady,Shannon Schroeder,echopark@clubpilates.com,echoparkgm@clubpilates.com,echoparkgm@riserfit.com,echoparkli@clubpilates.com,echoparkli@riserfit.com,(323) 505-4355,"1720 W Sunset Blvd., Los Angeles, CA 90026",1720 W Sunset Blvd.,Echo Park,Los Angeles County,CA,90026,34.08,-118.27,LAX,LA,Southwest,https://www.clubpilates.com/location/echopark,https://www.instagram.com/clubpilates_echopark/,https://www.facebook.com/ClubPilatesEchoPark,1340,Dec-31,"SMRN, LLC",0,Xpo Acq. 2017,3/9/2015,3/31/2017,1058,6.00%,
Glassell Park,53,CA [S2-LA],CAGP,CAGP CA-glassell-park,Glassell Park,Club Pilates Glassell Park,14258,CAGP,Open,13 - 24 Months,12,5,De Novo,12/5/2024,12/5/2024,1/19/2025,Daniela Valenzuela,Shaelana Pass,Lucille Cocco,A0NN,N/A,Amy Cady,Shannon Schroeder,glassellpark@clubpilates.com,glassellparkgm@clubpilates.com,glassellparkgm@riserfit.com,echoparkli@clubpilates.com,echoparkli@riserfit.com,(213) 838-2421,"2614 Arthur Street, Los Angeles, CA 90065",2614 Arthur Street,Los Angeles,Los Angeles County,CA,90065,34.11,-118.24,LAX,LA,Southwest,https://www.clubpilates.com/location/glassellpark,https://www.instagram.com/clubpilates_glassellpark/,https://www.facebook.com/clubpilatesglassellpark,2066,Mar-40,"Verdugo Marketplace, LLC C/o Coda Equities, LLC",0,Sep-23 Consolidated 45,9/29/2023,7/1/2024,3368,8.00%,
N La Cienega,68,CA [S2-LA],CALC,CALC CA-N La Cienega,N La Cienega,Club Pilates N La Cienega,14351,CASU,Open,6 - 12 Months,12,5,De Novo,3/28/2025,3/28/2025,5/12/2025,Daniela Valenzuela,Shaelana Pass,Kristiana Flowers*,A08C,N/A,Amy Cady,Erin Decoursey,nlacienega@clubpilates.com,nlacienegagm@clubpilates.com,nlacienegagm@riserfit.com,weholi@clubpilates.com,weholi@riserfit.com,(213) 782-5558,"1106 N. La Cienega Blvd., Suite 106, West Hollywood, CA 90069","1106 N. La Cienega Blvd., Suite 106",West Hollywood,Los Angeles County,CA,90069,34.09,-118.38,LAX,LA,Southwest,https://www.clubpilates.com/location/nlacienega,https://www.instagram.com/clubpilates_nlacienega/,https://www.facebook.com/clubpilatesnlacienega,1584,Jan-45,#N/A,0,Sep-23 Consolidated 45,5/9/2023,7/1/2024,3254,8.00%,
San Pedro,91,CA [S2-LA],CASP,CASP CA-San Pedro,San Pedro,Club Pilates San Pedro,14775,CASP,Open,6 - 12 Months,12,5,De Novo,9/25/2025,9/25/2025,11/9/2025,Daniela Valenzuela,Shaelana Pass,Janelle Axton,A0N9,N/A,Connie Chia,Bisi Mustapha,sanpedro@cluppilates.com,sanpedrogm@clubpilates.com,sanpedrogm@riserfit.com,torranceli@clubpilates.com,torranceli@riserfit.com,(310) 513-5330,"938 N Western Ave, Unit 260, San Pedro, CA 90732","938 N Western Ave, Unit 260",San Pedro,Los Angeles County,CA,90732,33.75,-118.31,LAX,LBC,Southwest,https://www.clubpilates.com/location/sanpedro,https://www.instagram.com/clubpilates_sanpedro/,https://www.facebook.com/clubpilatessanpedro,2186,TBD,"GRI PARK PLAZA, LLC",0,Sep-23 Consolidated 45,9/29/2023,,3369,8.00%,
Torrance,31,CA [S2-LA],CATO,CATO CA-torrance,Torrance,Club Pilates Torrance,13272,CATO,Open,13 - 24 Months,12,5,De Novo,3/21/2024,3/21/2024,5/5/2024,Daniela Valenzuela,Shaelana Pass,Alison Wade,A0A1,N/A,Connie Chia,Bisi Mustapha,torrance@clubpilates.com,torrancegm@clubpilates.com,torrancegm@riserfit.com,torranceli@clubpilates.com,torranceli@riserfit.com,(310) 755-7960,"2539 Pacific Coast Highway, Suite D, Torrance, CA 90505","2539 Pacific Coast Highway, Suite D",Torrance,Los Angeles County,CA,90505,33.79,-118.33,LAX,LBC,Southwest,https://www.clubpilates.com/location/torrance,https://www.instagram.com/clubpilates_torrance/,https://www.facebook.com/clubpilatestorrance,1750,Mar-39,"Rolling Hills Plaza, LLC",0,Castro,8/26/2022,7/1/2024,3112,8.00%,
West Hollywood,5,CA [S2-LA],CAWH,CAWH CA-west-hollywood,WeHo,Club Pilates WeHo,3224,3224,Open,2+ Years,12,5,Acquisition,3/31/2017,3/31/2017,5/15/2017,Daniela Valenzuela,Shaelana Pass,Mike Melnick,A08C,N/A,Amy Cady,Erin Decoursey,weho@clubpilates.com,wehogm@clubpilates.com,westhollywoodgm@riserfit.com,weholi@clubpilates.com,weholi@riserfit.com,(323) 774-2701,"7318 Santa Monica Blvd, Ste 20, West Hollywood, CA 90046","7318 Santa Monica Blvd, Ste 20",West Hollywood,Los Angeles County,CA,90046,34.09,-118.35,LAX,LA,Southwest,https://www.clubpilates.com/location/weho,https://www.instagram.com/clubpilates_weho/,https://www.facebook.com/clubpilatesweho,2168,Aug-33,"AvalonBay Communities, Inc.",0,Xpo Acq. 2017,3/9/2015,4/20/2017,1057,6.00%,
West Torrance,99,CA [S2-LA],CAWT,CAWT CA-West Torrance,West Torrance,Club Pilates West Torrance,14933,CANT,Open,< 6 Months,24,5,De Novo,1/22/2026,1/22/2026,3/8/2026,Daniela Valenzuela,Shaelana Pass,Lauren Hassell,A19E,N/A,Connie Chia,Bisi Mustapha,westtorrance@clubpilates.com,westtorrancegm@clubpilates.com,northtorrancegm@riserfit.com,torranceli@clubpilates.com,torranceli@riserfit.com,(310) 953-8839,"4940 W 190th St, Torrance, CA 90503",4940 W 190th St,Torrance,Los Angeles County,CA,90503,33.86,-118.36,LAX,LBC,Southwest,https://www.clubpilates.com/location/westtorrance,https://www.instagram.com/clubpilateswesttorrance/,https://www.facebook.com/clubpilateswesttorrance/,4500,#N/A,"North Torrance Plaza, LLC",0,Sep-23 Consolidated 45,9/29/2023,,3376,8.00%,
Bixby Knolls,92,CA [S3-LB],CABX,CABX CA-Bixby Knolls,Bixby Knolls,Club Pilates Bixby Knolls,14804,CABX,Open,< 6 Months,12,5,De Novo,10/16/2025,10/16/2025,11/30/2025,Daniela Valenzuela,Camaren Sweet,Sabrina Ortega,A0O8,N/A,Connie Chia,Michelle Laciste,bixbyknolls@clubpilates.com,bixbyknollsgm@clubpilates.com,bixbyknollsgm@riserfit.com,eastlongbeachli@clubpilates.com,eastlongbeachli@riserfit.com,(562) 270-0733,"4010 Atlantic Ave., Long Beach, CA 90807",4010 Atlantic Ave.,Long Beach,Los Angeles County,CA,90807,33.83,-118.18,OCN,LBC,Southwest,https://www.clubpilates.com/location/bixbyknolls,https://www.instagram.com/clubpilatesbixbyknolls/,https://www.facebook.com/clubpilatesbixbyknolls,1488,Oct-45,HJRJ Investment LLC,0,Rubin,6/21/2023,7/2/2024,3284,8.00%,
